City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
291,neya,58.2972,43.8681,65.97,97,100,10.31,RU,1690405763
292,barcelos,41.5388,-8.6151,66.69,91,0,6.33,PT,1690405549
293,northam,51.0333,-4.2167,63.66,98,100,23.71,GB,1690405764
294,sabha,27.0377,14.4283,92.8,9,0,8.61,LY,1690405764
295,afaahiti,-17.75,-149.2833,78.67,86,43,7.36,PF,1690405621
296,carutapera,-1.195,-46.02,79.45,82,9,8.99,BR,1690405765
297,launceston,-41.45,147.1667,49.64,92,100,12.66,AU,1690405623
298,erenhot,43.6475,111.9767,72.91,60,6,2.39,CN,1690405766
299,potam,27.6,-110.3833,98.42,42,12,16.67,MX,1690405766
300,witu,-2.3889,40.4382,75.36,81,79,14.29,KE,1690405767
301,grand-bourg,15.8835,-61.3148,85.95,78,25,15.12,GP,1690405768
302,santa ana de yacuma,-13.75,-65.4333,91.35,43,75,5.75,BO,1690405769
303,shalqar,47.8333,59.6,82.29,35,53,7.99,KZ,1690405769
304,kargasok,59.0556,80.8572,57.72,96,43,6.51,RU,1690405769
305,savanna-la-mar,18.219,-78.1332,87.75,63,100,6.85,JM,1690405770
306,nema,57.5067,50.5011,61.74,95,100,6.44,RU,1690405770
307,moranbah,-22.0016,148.0466,53.51,82,59,10.49,AU,1690405770
308,sao raimundo das mangabeiras,-7.0219,-45.4811,86.85,29,34,3.51,BR,1690405771
309,golyshmanovo,56.3979,68.3728,60.82,71,85,6.55,RU,1690405771
310,pacific grove,36.6177,-121.9166,80.38,82,20,9.22,US,1690405485
311,paharpur,32.1038,70.9724,93.15,49,0,1.9,PK,1690405772
312,xai-xai,-25.0519,33.6442,61.97,74,0,10.09,MZ,1690405772
313,mandera,3.9366,41.867,80.56,46,99,21.36,KE,1690405773
314,sao francisco,-15.9486,-44.8644,78.31,32,6,1.48,BR,1690405711
315,srednebelaya,50.6594,128.0106,62.98,89,6,3.22,RU,1690405773
316,gaspe,48.8334,-64.4819,73.35,68,81,2.46,CA,1690405774
317,valley city,46.9233,-98.0032,93.72,46,0,5.75,US,1690405774
318,benguela,-12.5763,13.4055,68.25,87,16,3.83,AO,1690405774
319,punta arenas,-53.15,-70.9167,34.27,71,26,13.31,CL,1690405775
320,kurlovo,55.4325,40.4854,66.96,90,2,8.1,RU,1690405775
321,macusani,-14.0833,-70.4333,48.81,33,0,5.86,PE,1690405775
322,hakui,36.8833,136.7833,80.69,87,87,1.77,JP,1690405776
323,zinjibar,13.1287,45.3807,85.89,67,18,3.96,YE,1690405776
324,nantucket,41.2835,-70.0995,82.45,80,0,16.87,US,1690405776
325,hwange,-18.3693,26.5019,61.45,52,0,2.42,ZW,1690405776
326,moyynkum,44.2914,72.9469,84.65,23,0,5.86,KZ,1690405777
327,masterton,-40.9597,175.6575,50.88,78,76,10.47,NZ,1690405777
328,pizarro,4.9533,-77.366,82.83,76,51,7.61,CO,1690405777
329,rabaul,-4.1967,152.1721,79.02,84,75,15.03,PG,1690405777
330,chamical,-30.36,-66.314,64.62,30,62,7.94,AR,1690405778
331,piti village,13.4626,144.6933,79.68,94,100,14.97,GU,1690405778
332,shiguai,40.7058,110.2856,70.84,59,100,2.98,CN,1690405778
333,dauphin,51.1494,-100.0502,92.46,16,73,15.52,CA,1690405779
334,el alto,-4.2714,-81.2147,78.46,73,99,15.12,PE,1690405779
335,lagoa,39.05,-27.9833,71.91,87,2,14.36,PT,1690405779
336,deqen,29.9618,90.7188,49.95,93,100,2.82,CN,1690405780
337,bengbu,32.9408,117.3608,76.08,97,30,6.06,CN,1690405780
338,kralendijk,12.15,-68.2667,84.18,79,40,19.57,BQ,1690405780
339,nacala,-14.5428,40.6728,67.19,81,1,9.22,MZ,1690405780
340,mirabad,30.4362,61.8383,94.33,15,9,11.43,AF,1690405781
341,nowshahr,36.649,51.496,75.15,88,40,2.3,IR,1690405781
342,yichang,30.7144,111.2847,75.72,92,99,2.8,CN,1690405782
343,kyzyl-suu,42.3414,78.0056,66.83,51,3,5.97,KG,1690405782
344,lumphat,13.4878,106.9816,73.36,100,100,2.44,KH,1690405782
345,hamilton,39.1834,-84.5333,90.61,66,0,11.5,US,1690405783
346,vilyuchinsk,52.9306,158.4028,64.67,75,100,0.29,RU,1690405783
347,motueka,-41.1333,173.0167,46.47,85,71,5.57,NZ,1690405783
348,tokar,18.4254,37.729,97.25,32,45,26.64,SD,1690405783
349,bomdila,27.25,92.4,59.58,96,100,1.12,IN,1690405784
350,khandyga,62.6667,135.6,60.82,54,0,8.84,RU,1690405784
351,port hedland,-20.3167,118.5667,60.85,59,14,6.91,AU,1690405784
352,santo domingo,18.5001,-69.9886,79.03,97,100,6.91,DO,1690405529
353,nouadhibou,20.931,-17.0347,73.38,73,80,19.57,MR,1690405785
354,belo sur tsiribihina,-19.7,44.55,64.49,93,0,4.16,MG,1690405785
355,puerto armuelles,8.2833,-82.8667,85.98,70,100,3.0,PA,1690405785
356,grosse pointe farms,42.4092,-82.8919,71.69,83,75,10.36,US,1690405786
357,menongue,-14.6585,17.691,60.37,31,2,2.95,AO,1690405786
358,calama,-22.4667,-68.9333,66.69,11,0,23.02,CL,1690405786
359,santa elena de uairen,4.6167,-61.1333,73.47,83,95,3.11,VE,1690405786
360,sinop,41.7711,34.8709,73.76,42,0,9.57,TR,1690405787
361,gao,16.6362,1.637,96.64,28,94,9.35,ML,1690405787
362,dryden,49.7833,-92.7503,82.96,46,95,6.71,CA,1690405787
